Topic	Subtopic	Description	Educational_Level	Depth_Level	Domain	Difficulty	Duration_Hours	Is_Core	Pedagogical_Order	MCAT_Relevant	Prerequisites	Learning_Objectives	Assessment_Methods	Source_Books	Extraction_Strategy
Induction: Lenz’s Law Faraday’s Law of Induction: Lenz’s Law Learning Objectives By the end of this section	Induction: Lenz’s Law Faraday’s Law of Induction: Lenz’s Law Learning Objectives By the end of this section	Faraday’s Law of Induction: Lenz’s Law m42392 Faraday’s Law of Induction: Lenz’s Law c0672c45-1220-426e-b160-c859b879567d Learning Objectives By the end of this section, you will be able to: Calculate	undergraduate	1	general_physics	3	4	Core	45	Yes		Learning Objectives By the end of this section, you will be able to: Calculate emf, current, and magnetic fields using Faraday’s Law. Explain the physical results of Lenz’s Law Faraday’s and Lenz’s Law Faraday’s experiments showed that the emf induced by a change in magnetic flux depends on only a few factors. First, emf is directly proportional to the change in flux ΔΦ. Seco...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Reflection The Law of Reflection Learning Objectives By the end of this section	Reflection The Law of Reflection Learning Objectives By the end of this section	The Law of Reflection m42456 The Law of Reflection 60b4727b-829e-4ea7-9238-9140b6a1b20c Learning Objectives By the end of this section, you will be able to: Explain reflection of light from polished a	undergraduate	1	general_physics	3	4	Core	46	No		Learning Objectives By the end of this section, you will be able to: Explain reflection of light from polished and rough surfaces. Whenever we look into a mirror, or squint at sunlight glinting from a lake, we are seeing a reflection. When you look at this page, too, you are seeing light reflected from it. Large telescopes use reflection to form an image of stars and other astronomical objects. The law of ref...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Refraction The Law of Refraction Learning Objectives By the end of this section	Refraction The Law of Refraction Learning Objectives By the end of this section	The Law of Refraction m42459 The Law of Refraction 18eef263-8513-4954-bcc8-07aa263f0a50 Learning Objectives By the end of this section, you will be able to: Determine the index of refraction, given th	undergraduate	1	general_physics	3	4	Core	47	No		Learning Objectives By the end of this section, you will be able to: Determine the index of refraction, given the speed of light in a medium. It is easy to notice some odd things when looking into a fish tank. For example, you may see the same fish appearing to be in two different places. (See .) This is because light coming from the fish to us changes direction when it leaves the tank, and in this case, it c...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Color vision	Color vision	Color and Color Vision m42487 Color and Color Vision d42c807d-a9fa-4e3d-83d0-0f7c745b51a0 Learning Objectives By the end of this section, you will be able to: Explain the simple theory of color vision	undergraduate	1	general_physics	3	4	Core	48	No		Learning Objectives By the end of this section, you will be able to: Explain the simple theory of color vision. Outline the coloring properties of light sources. Describe the retinex theory of color vision. The gift of vision is made richer by the existence of color. Objects and lights abound with thousands of hues that stimulate our eyes, brains, and emotions. Two basic questions are addressed in this brie...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Surfaces and thin films	Surfaces and thin films	Connection for AP® Courses m55362 Connection for AP® Courses dd022261-4c68-44af-9c2c-abf8bdc8ec2a Katharine Burr Blodgett (1898–1979) was a physicist and chemist who made significant advancements in t	undergraduate	1	general_physics	4	4	Core	49	No		Apply principles to real-world situations	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Particle-wave duality	Particle-wave duality	The Particle-Wave Duality Reviewed m42581 The Particle-Wave Duality Reviewed 3b84d6ab-1291-4e6a-8510-7772c0de699e Learning Objectives By the end of this section, you will be able to: Explain the conce	undergraduate	1	general_physics	4	4	Core	50	Yes		Learning Objectives By the end of this section, you will be able to: Explain the concept of particlewave duality, and its scope. Particlewave duality—the fact that all particles have wave properties—is one of the cornerstones of quantum mechanics. We first came across it in the treatment of photons, those particles of EM radiation that exhibit both particle and wave properties, but...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
The hydrogen atom bohr’s theory of the hydrogen atom learning objectives by the end of this section	The hydrogen atom bohr’s theory of the hydrogen atom learning objectives by the end of this section	Bohr’s Theory of the Hydrogen Atom m42596 Bohr’s Theory of the Hydrogen Atom 9a2ad24a-bdd0-4aa8-a99c-36ba54ec0f1f Learning Objectives By the end of this section, you will be able to: Describe the myst	undergraduate	1	general_physics	3	4	Core	51	Yes		Learning Objectives By the end of this section, you will be able to: Describe the mysteries of atomic spectra. Explain Bohr’s theory of the hydrogen atom. Explain Bohr’s planetary model of the atom. Illustrate energy state using the energylevel diagram. Describe the triumphs and limits of Bohr’s theory. The great Danish physicist Niels Bohr (1885–1962) made immediate use of Rutherfo...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
The Pauli Exclusion Principle	The Pauli Exclusion Principle	The Pauli Exclusion Principle m42618 The Pauli Exclusion Principle 506a4bfc-5522-4aa6-9b9c-0e7e2325dda0 Learning Objectives By the end of this section, you will be able to: Define the composition of a	undergraduate	1	general_physics	3	4	Core	52	No		Learning Objectives By the end of this section, you will be able to: Define the composition of an atom along with its electrons, neutrons, and protons. Explain the Pauli exclusion principle and its application to the atom. Specify the shell and subshell symbols and their positions. Define the position of electrons in different shells of an atom. State the position of each element in the period...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
A geiger tube	A geiger tube	Radiation Detection and Detectors m42627 Radiation Detection and Detectors 030f371f-df0f-44f0-b7bf-1a8c8733ae0c Learning Objectives By the end of this section, you will be able to: Explain the working	undergraduate	1	general_physics	3	4	Core	53	No		Learning Objectives By the end of this section, you will be able to: Explain the working principle of a Geiger tube. Define and discuss radiation detectors. It is well known that ionizing radiation affects us but does not trigger nerve impulses. Newspapers carry stories about unsuspecting victims of radiation poisoning who fall ill with radiation sickness, such as burns and blood count...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Biological Effects	Biological Effects	Biological Effects of Ionizing Radiation m42652 Biological Effects of Ionizing Radiation 1c813e42-c4bd-406c-900e-82faf8875592 Learning Objectives By the end of this section, you will be able to: Defin	undergraduate	1	general_physics	3	4	Core	54	No		Learning Objectives By the end of this section, you will be able to: Define various units of radiation. Describe RBE. We hear many seemingly contradictory things about the biological effects of ionizing radiation. It can cause cancer, burns, and hair loss, yet it is used to treat and even cure cancer. How do we understand these effects? Once again, there is an underlying ...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
A cyclotron	A cyclotron	Accelerators Create Matter from Energy m42718 Accelerators Create Matter from Energy 6b2a5350-490f-4468-93d4-e201a6ba4c4a Learning Objectives By the end of this section, you will be able to: State the	undergraduate	1	general_physics	3	4	Core	55	No		Learning Objectives By the end of this section, you will be able to: State the principle of a cyclotron. Explain the principle of a synchrotron. Describe the voltage needed by an accelerator between accelerating tubes. State Fermilab’s accelerator principle. Before looking at all the particles we now know about, let us examine some of the machines that created them. The funda...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Refraction in problem solving you may often notice some odd things when looking into a fish tank	Refraction in problem solving you may often notice some odd things when looking into a fish tank	Refraction m58510 Refraction By the end of this section, you will be able to: Describe how rays change direction upon entering a medium Apply the law of refraction in problem solving 426d336a-9fe9-439	undergraduate	1	general_physics	3	4	Core	56	No		Understand fundamental concepts; Apply principles to real-world situations	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Reflection use huygens’s principle to explain the law of refraction use huygens’s principle to explain diffraction so far in this chapter	Reflection use huygens’s principle to explain the law of refraction use huygens’s principle to explain diffraction so far in this chapter	Huygens’s Principle m58523 Huygens’s Principle By the end of this section, you will be able to: Describe Huygens’s principle Use Huygens’s principle to explain the law of reflection Use Huygens’s prin	undergraduate	1	general_physics	3	4	Core	57	No		Understand fundamental concepts; Apply principles to real-world situations	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Special relativity addressed	Special relativity addressed	Invariance of Physical Laws m58556 Invariance of Physical Laws By the end of this section, you will be able to: Describe the theoretical and experimental issues that Einstein’s theory of special relat	undergraduate	1	general_physics	4	4	Core	58	No	Electromagnetism; Trigonometry; Classical mechanics	Perform calculations and solve problems; Understand fundamental concepts; Apply principles to real-world situations	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Special relativity and the concept of a light quantum	Special relativity and the concept of a light quantum	The Compton Effect m58763 The Compton Effect By the end of this section, you will be able to: Describe Compton’s experiment Explain the Compton wavelength shift Describe how experiments with X-rays co	undergraduate	1	general_physics	4	4	Core	59	No	Electromagnetism; Classical mechanics	Understand fundamental concepts	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
The hydrogen atom describe the davisson–germer experiment interpret de broglie’s idea of matter waves and how they account for electron diffraction phenomena compton’s formula e	The hydrogen atom describe the davisson–germer experiment interpret de broglie’s idea of matter waves and how they account for electron diffraction phenomena compton’s formula e	De Broglie’s Matter Waves m58765 De Broglie’s Matter Waves By the end of this section, you will be able to: Describe de Broglie’s hypothesis of matter waves Explain how the de Broglie’s hypothesis giv	undergraduate	1	general_physics	4	4	Core	60	Yes	Energy; Oscillations	Understand fundamental concepts	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Atomic spectra provides	Atomic spectra provides	Atomic Spectra and X-rays m58590 Atomic Spectra and X-rays By the end of this section, you will be able to: Describe the absorption and emission of radiation in terms of atomic energy levels and energ	undergraduate	1	general_physics	5	4	Core	61	Yes	Electromagnetism; Quantum mechanics	Understand fundamental concepts; Apply principles to real-world situations	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Hybridization quantum mechanics has been extrao	Hybridization quantum mechanics has been extrao	Types of Molecular Bonds m58592 Types of Molecular Bonds By the end of this section, you will be able to: Distinguish between the different types of molecular bonds Determine the dissociation energy o	undergraduate	1	general_physics	4	4	Core	62	Yes	Atomic structure; Waves; Classical mechanics	Understand fundamental concepts	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Solids Band Theory of Solids By the end of this section	Solids Band Theory of Solids By the end of this section	Band Theory of Solids m58599 Band Theory of Solids By the end of this section, you will be able to: Describe two main approaches to determining the energy levels of an electron in a crystal Explain th	undergraduate	1	general_physics	3	4	Core	63	No		Understand fundamental concepts	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Superconductivity determine the critical magnetic field for t = 0 k from magnetic field data calculate the maximum emf or current for a wire to remain superconducting electrical resistance can be considered as a measure of the frictional force in electrical current flow	Superconductivity determine the critical magnetic field for t = 0 k from magnetic field data calculate the maximum emf or current for a wire to remain superconducting electrical resistance can be considered as a measure of the frictional force in electrical current flow	Superconductivity m58602 Superconductivity By the end of this section, you will be able to: Describe the main features of a superconductor Describe the BCS theory of superconductivity Determine the cr	undergraduate	1	general_physics	3	4	Core	64	Yes		Perform calculations and solve problems; Understand fundamental concepts	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Particle Conservation Laws	Particle Conservation Laws	Particle Conservation Laws m58770 Particle Conservation Laws By the end of this section, you will be able to: Distinguish three conservation laws: baryon number, lepton number, and strangeness Use rul	undergraduate	1	general_physics	3	4	Core	65	No		Apply principles to real-world situations	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Gravitational lensing to explain astronomical phenomena provide evidence of the big bang in terms of cosmic background radiation distinguish between dark matter and dark energy in the previous section	Gravitational lensing to explain astronomical phenomena provide evidence of the big bang in terms of cosmic background radiation distinguish between dark matter and dark energy in the previous section	Evolution of the Early Universe m58776 Evolution of the Early Universe By the end of this section, you will be able to: Describe the evolution of the early universe in terms of the four fundamental fo	undergraduate	1	general_physics	4	4	Core	66	No	Forces; Newton's Laws	Understand fundamental concepts; Apply principles to real-world situations	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Gravitation and kepler’s laws describe the motions of earth satellites and interplanetary spacecraft as well as the planets	Gravitation and kepler’s laws describe the motions of earth satellites and interplanetary spacecraft as well as the planets	Motions of Satellites and Spacecraft m59779 Motions of Satellites and Spacecraft b5a9fa3d-f23f-4c86-9ed9-50bfc39fd05b Learning Objectives By the end of this section, you will be able to: Explain how a	undergraduate	1	astronomy	3	4	Core	67	No		Learning Objectives By the end of this section, you will be able to: Explain how an object (such as a satellite) can be put into orbit around Earth Explain how an object (such as a planetary probe) can escape from orbit Newton’s universal law of gravitation and Kepler’s laws describe the motions of Earth satellites and interplanetary spacecraft as well as the planets. Sputnik, th...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Energy levels for t	Energy levels for t	Formation of Spectral Lines m59795 Formation of Spectral Lines 9d3d546b-fc92-410c-a9cc-5e084fdb4b62 Learning Objectives By the end of this section, you will be able to: Explain how emission line spect	undergraduate	1	astronomy	3	4	Core	68	No	Forces; Newton's Laws	Learning Objectives By the end of this section, you will be able to: Explain how emission line spectra and absorption line spectra are formed Describe what ions are and how they are formed Explain how spectral lines and ionization levels in a gas can help us determine its temperature We can use Bohr’s model of the atom to understand how spectral lines are formed. The concept of energy levels for t...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
The Doppler Effect	The Doppler Effect	The Doppler Effect m59799 The Doppler Effect 9d6442f2-71bf-4ed3-9a37-1723bb846e0e Learning Objectives By the end of this section, you will be able to: Explain why the spectral lines of photons we obse	undergraduate	1	astronomy	3	4	Core	69	No		Learning Objectives By the end of this section, you will be able to: Explain why the spectral lines of photons we observe from an object will change as a result of the object’s motion toward or away from us Describe how we can use the Doppler effect to deduce how fast astronomical objects are moving through space The last two sections introduced you to many new concepts, and we hope that through those, you have see...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Plate tectonics describe the difference between rift and subduction zones describe the relationship between fault zones and mountain building explain the various types of volcanic activity occurring on earth let us now examine our planet’s outer layers in more detail	Plate tectonics describe the difference between rift and subduction zones describe the relationship between fault zones and mountain building explain the various types of volcanic activity occurring on earth let us now examine our planet’s outer layers in more detail	Earth’s Crust m59826 Earth’s Crust 06448fca-ae6c-4146-a3e1-b13d8c765c63 Learning Objectives By the end of this section, you will be able to: Denote the primary types of rock that constitute Earth’s cr	undergraduate	1	astronomy	3	4	Core	70	No		Learning Objectives By the end of this section, you will be able to: Denote the primary types of rock that constitute Earth’s crust Explain the theory of plate tectonics Describe the difference between rift and subduction zones Describe the relationship between fault zones and mountain building Explain the various types of volcanic activity occurring on Earth Let us now examine our planet’s outer layers in more detail. Earth...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
How the moon formed ideas for the origin of the moon it is characteristic of modern science to ask how things originated	How the moon formed ideas for the origin of the moon it is characteristic of modern science to ask how things originated	The Origin of the Moon m59834 The Origin of the Moon f11291b8-079b-49fa-a302-4139c51133f9 Learning Objectives By the end of this section, you will be able to: Describe the top three early hypotheses o	undergraduate	1	astronomy	3	4	Core	71	No		Learning Objectives By the end of this section, you will be able to: Describe the top three early hypotheses of the formation of the Moon Summarize the current “giant impact” concept of how the Moon formed Ideas for the Origin of the Moon It is characteristic of modern science to ask how things originated. Understanding the origin of the Moon has proven to be challenging for planetary scientists, however. P...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Craters on venus tells us about the age of its surface compare tectonic activity and volcanoes on venus with those of earth explain why the surface of venus is inhospitable to human life since venus has about the same size and composition as earth	Craters on venus tells us about the age of its surface compare tectonic activity and volcanoes on venus with those of earth explain why the surface of venus is inhospitable to human life since venus has about the same size and composition as earth	The Geology of Venus m59838 The Geology of Venus e10c1a16-d06c-4057-8813-29ae446efe94 Learning Objectives By the end of this section, you will be able to: Describe the general features of the surface 	undergraduate	1	astronomy	4	4	Core	72	No		Learning Objectives By the end of this section, you will be able to: Describe the general features of the surface of Venus Explain what the study of craters on Venus tells us about the age of its surface Compare tectonic activity and volcanoes on Venus with those of Earth Explain why the surface of Venus is inhospitable to human life Since Venus has about the same size and composition as Earth, we might expect ...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Meteorites informs our understanding of the age of the solar system	Meteorites informs our understanding of the age of the solar system	Meteorites: Stones from Heaven m59872 Meteorites: Stones from Heaven b8fcd786-2d2e-415f-8ce8-a61442d8e6b9 Learning Objectives By the end of this section, you will be able to: Explain the origin of met	undergraduate	1	astronomy	4	4	Core	73	No		Learning Objectives By the end of this section, you will be able to: Explain the origin of meteorites and the difference between a meteor and a meteorite Describe how most meteorites have been found Explain how primitive stone meteorites are significantly different from other types Explain how the study of meteorites informs our understanding of the age of the solar system. Any fragment of i...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Solar system formation summarize the physical and chemical changes during the solar nebula stage of solar system formation explain the formation process of the terrestrial and giant planets describe the main events of the further evolution of	Solar system formation summarize the physical and chemical changes during the solar nebula stage of solar system formation explain the formation process of the terrestrial and giant planets describe the main events of the further evolution of	Formation of the Solar System m59873 Formation of the Solar System d3960789-d139-4c88-870e-982093388aa6 Learning Objectives By the end of this section, you will be able to: Describe the motion, chemic	undergraduate	1	astronomy	3	4	Core	74	No		Learning Objectives By the end of this section, you will be able to: Describe the motion, chemical, and age constraints that must be met by any theory of solar system formation Summarize the physical and chemical changes during the solar nebula stage of solar system formation Explain the formation process of the terrestrial and giant planets Describe the main events of the further evolution of...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Conservation of energy explain ways that energy can be transformed energy is a challenging concept to grasp because it exists in so many different forms that it defies any single simple explanation	Conservation of energy explain ways that energy can be transformed energy is a challenging concept to grasp because it exists in so many different forms that it defies any single simple explanation	Sources of Sunshine: Thermal and Gravitational Energy m59895 Sources of Sunshine: Thermal and Gravitational Energy 0ac646fb-3bf3-498e-a911-c80b917508a4 Learning Objectives By the end of this section, 	undergraduate	1	astronomy	3	4	Core	75	No	Forces; Newton's Laws	Learning Objectives By the end of this section, you will be able to: Identify different forms of energy Understand the law of conservation of energy Explain ways that energy can be transformed Energy is a challenging concept to grasp because it exists in so many different forms that it defies any single simple explanation. In many ways, comprehen...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Relativity Mass	Relativity Mass	Mass, Energy, and the Theory of Relativity m59886 Mass, Energy, and the Theory of Relativity 48c2dc44-40da-465e-b524-0adefbbc1490 Learning Objectives By the end of this section, you will be able to: E	undergraduate	1	astronomy	4	4	Core	76	Yes	Electromagnetism; Classical mechanics	Learning Objectives By the end of this section, you will be able to: Explain how matter can be converted into energy Describe the particles that make up atoms Describe the nucleus of an atom Understand the nuclear forces that hold atoms together Trace the nuclear reactions in the solar interior As we have seen, energy cannot be created or destroyed, but only converted...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Triangulating distances to distant objects	Triangulating distances to distant objects	Surveying the Stars m59905 Surveying the Stars e7866b9e-59bd-4e63-a285-58320ddaf41c Learning Objectives By the end of this section, you will be able to: Understand the concept of triangulating distanc	undergraduate	1	astronomy	3	4	Core	77	No		Learning Objectives By the end of this section, you will be able to: Understand the concept of triangulating distances to distant objects, including stars Explain why spacebased satellites deliver more precise distances than groundbased methods Discuss astronomers’ efforts to determine the distance of the stars closest to the Sun It is an enormous step to go from the planets to the stars. For example, our Voyag...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
The universe let’s briefly review the key reasons that measuring distances to the stars is such a struggle	The universe let’s briefly review the key reasons that measuring distances to the stars is such a struggle	Variable Stars: One Key to Cosmic Distances m59906 Variable Stars: One Key to Cosmic Distances bdd59622-7b70-46bd-948f-3651c94d230b Learning Objectives By the end of this section, you will be able to:	undergraduate	1	astronomy	4	4	Core	78	No	Algebra	Learning Objectives By the end of this section, you will be able to: Describe how some stars vary their light output and why such stars are important Explain the importance of pulsating variable stars, such as cepheids and RR Lyraetype stars, to our study of the universe Let’s briefly review the key reasons that measuring distances to the stars is such a struggle. ...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Relativity recognize that one’s experiences of gravity and acceleration are interchangeable and indistinguishable distinguish between newtonian ideas of gravity and einsteinian ideas of gravity recognize why the general theory of relativity is necessary for understandin	Relativity recognize that one’s experiences of gravity and acceleration are interchangeable and indistinguishable distinguish between newtonian ideas of gravity and einsteinian ideas of gravity recognize why the general theory of relativity is necessary for understandin	Introducing General Relativity m59939 Introducing General Relativity 87febba0-f4df-4096-b9f6-a13ed65deb0f Learning Objectives By the end of this section, you will be able to: Discuss some of the key i	undergraduate	1	astronomy	4	4	Core	79	No	Electromagnetism; Classical mechanics	Learning Objectives By the end of this section, you will be able to: Discuss some of the key ideas of the general theory of relativity Recognize that one’s experiences of gravity and acceleration are interchangeable and indistinguishable Distinguish between Newtonian ideas of gravity and Einsteinian ideas of gravity Recognize why the general theory of relativity is necessary for understandin...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
The gravitational force between two massive objects and einstein’s concept of warped spacetime are different explanations for the same observed accelerations of one massive object in the presence of another m	The gravitational force between two massive objects and einstein’s concept of warped spacetime are different explanations for the same observed accelerations of one massive object in the presence of another m	Spacetime and Gravity m59940 Spacetime and Gravity 3ce9d47d-1953-4522-ad16-0a8c17b4cf92 Learning Objectives By the end of this section, you will be able to: Describe Einstein’s view of gravity as the 	undergraduate	1	astronomy	3	4	Core	80	No		Learning Objectives By the end of this section, you will be able to: Describe Einstein’s view of gravity as the warping of spacetime in the presence of massive objects Understand that Newton’s concept of the gravitational force between two massive objects and Einstein’s concept of warped spacetime are different explanations for the same observed accelerations of one massive object in the presence of another m...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Warped spacetime near a black hole to track what happens to any object that might fall into a black hole recognize why the concept of a singularity—with i	Warped spacetime near a black hole to track what happens to any object that might fall into a black hole recognize why the concept of a singularity—with i	Black Holes m59943 Black Holes 366e559d-50aa-4678-b615-bc6f4f06e5cc Learning Objectives By the end of this section, you will be able to: Explain the event horizon surrounding a black hole Discuss why 	undergraduate	1	astronomy	3	4	Core	81	No		Learning Objectives By the end of this section, you will be able to: Explain the event horizon surrounding a black hole Discuss why the popular notion of black holes as great sucking monsters that can ingest material at great distances from them is erroneous Use the concept of warped spacetime near a black hole to track what happens to any object that might fall into a black hole Recognize why the concept of a singularity—with i...	Problem solving; Conceptual understanding; Application	Astronomy 2e	content_processing
Newton's Laws	Newton's Laws	Introduction m54144 Introduction 438c5976-3406-42c5-a216-fe7463df48ad Newton’s laws of motion describe the motion of the dolphin’s path.	high_school	1	physics	2	4	Core	82	No		Understand fundamental concepts	Problem solving; Conceptual understanding; Application	Physics	content_processing
Dynamics	Dynamics	Force m54135 Force 47f50c14-db77-440c-a178-464af55ae244 Section Learning Objectives By the end of this section, you will be able to do the following: Differentiate between force, net force, and dynami	high_school	1	physics	3	4	Core	83	No	Kinematics	Learning Objectives By the end of this section, you will be able to do the following: Differentiate between force, net force, and dynamics Draw a freebody diagram Teacher Support The learning objectives in this section will help your students master the following standards: (4) Science concepts. The student knows and applies the laws governing motion in a variety of situations. The student is expected to: (C) analyze and describe a...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Oscillations	Oscillations	Simple Harmonic Motion m54154 Simple Harmonic Motion 152f919d-2391-4bf3-85ae-432e63f80468 Section Learning Objectives By the end of this section, you will be able to do the following: Describe Hooke’s	high_school	1	physics	2	4	Core	84	No	Energy; Forces	Learning Objectives By the end of this section, you will be able to do the following: Describe Hooke’s law and Simple Harmonic Motion Describe periodic motion, oscillations, amplitude, frequency, and period Solve problems in simple harmonic motion involving springs and pendulums Teacher Support The learning objectives in this section will help your students master the following standards: (7) Scienc...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Forces	Forces	Uniform Circular Motion m54181 Uniform Circular Motion ebda9705-aec8-45ec-8ee6-b4f52e9664c0 Section Learning Objectives By the end of this section, you will be able to do the following: Describe centr	high_school	1	physics	2	4	Core	85	No		Learning Objectives By the end of this section, you will be able to do the following: Describe centripetal acceleration and relate it to linear acceleration Describe centripetal force and relate it to linear force Solve problems involving centripetal acceleration and centripetal force Teacher Support The learning objectives in this section will help your students master the following standards: (4...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Kinematics	Kinematics	Rotational Motion m54180 Rotational Motion 0807ecd4-619a-4540-b58a-f38b43b09fff Section Learning Objectives By the end of this section, you will be able to do the following: Describe rotational kinema	high_school	1	physics	2	4	Core	86	No	Algebra	Learning Objectives By the end of this section, you will be able to do the following: Describe rotational kinematic variables and equations and relate them to their linear counterparts Describe torque and lever arm Solve problems involving torque and rotational kinematics Teacher Support The learning objectives in this section will help your students master the following standards: (4) Science concepts. The s...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Universal Gravitation and Einstein's Theory of General Relativity Newton's Law of Universal Gravitation and Einstein's Theory of General Relativity Section Learning Objectives By the end of this section	Universal Gravitation and Einstein's Theory of General Relativity Newton's Law of Universal Gravitation and Einstein's Theory of General Relativity Section Learning Objectives By the end of this section	Newton's Law of Universal Gravitation and Einstein's Theory of General Relativity m54189 Newton's Law of Universal Gravitation and Einstein's Theory of General Relativity cef1f320-df42-4181-af2b-bd17b	high_school	1	physics	3	4	Core	87	No	Electromagnetism; Classical mechanics	Learning Objectives By the end of this section, you will be able to do the following: Explain Newton’s law of universal gravitation and compare it to Einstein’s theory of general relativity Perform calculations using Newton’s law of universal gravitation Teacher Support The learning ...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Energy and Work	Energy and Work	Introduction m54268 Introduction 2c3118ee-1433-437d-89f2-be43c5855452 Teacher Support Physics learning objectives come from 112.39 (c) Knowledge and Skills People on a roller coaster experience thrill	high_school	1	physics	2	4	Core	88	No	Forces; Newton's Laws	Apply principles to real-world situations	Problem solving; Conceptual understanding; Application	Physics	content_processing
Waves	Waves	Introduction m54312 Introduction 528952d9-881d-4abf-b3bc-d2d0210bf5f1 Waves in the ocean behave similarly to all other types of waves.	high_school	1	physics	2	4	Core	89	Yes	Energy; Oscillations	Understand fundamental concepts	Problem solving; Conceptual understanding; Application	Physics	content_processing
Electricity	Electricity	Introduction m54417 Introduction 733779ab-85cb-4bdc-b87d-8f217765027c This child’s hair contains an imbalance of electrical charge (commonly called static electricity), which causes it to stand on end	high_school	1	physics	3	4	Core	90	Yes	Basic mathematics	Apply principles to real-world situations	Problem solving; Conceptual understanding; Application	Physics	content_processing
Nuclear Physics	Nuclear Physics	Nuclear Fission and Fusion m54574 Nuclear Fission and Fusion f7545343-8845-47fd-9f10-aaaa8283929d Section Learning Objectives By the end of this section, you will be able to do the following: Explain 	high_school	1	physics	2	4	Core	91	Yes	Atomic physics; Quantum mechanics	Learning Objectives By the end of this section, you will be able to do the following: Explain nuclear fission Explain nuclear fusion Describe how the processes of fission and fusion work in nuclear weapons and in generating nuclear power Teacher Support The learning objectives in this section will help your students master the following standards: (8) Science concepts. The student knows simp...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Gravity and Gravitation	Gravity and Gravitation	Falling Objects m42102 Falling Objects 9e486db8-120e-4507-b265-e5248007faba Learning Objectives By the end of this section, you will be able to: Describe the effects of gravity on objects in motion.	undergraduate	1	general_physics	3	4	Core	92	No		Learning Objectives By the end of this section, you will be able to: Describe the effects of gravity on objects in motion. Describe the motion of objects that are in free fall. Calculate the position and velocity of objects in free fall. Falling objects form an interesting class of motion problems. For example, we can estimate the depth of a vertical mine shaft by dropping a rock into it and listening for the rock to hit...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Motion	Motion	Introduction to Rocket Propulsion m42166 Introduction to Rocket Propulsion 5ea664f4-f320-4873-93c7-0dc838e9c9ae Learning Objectives By the end of this section, you will be able to: State Newton’s thir	undergraduate	1	general_physics	3	4	Core	93	No		Learning Objectives By the end of this section, you will be able to: State Newton’s third law of motion. Explain the principle involved in propulsion of rockets and jet engines. Derive an expression for the acceleration of the rocket and discuss the factors that affect the acceleration. Describe the function of a space shuttle. Rockets range in size from fireworks so small that ordinar...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
